timestamp,voltage,current,power
611000.0,253.59,0.148,37.53132
612000.0,253.65,0.142,36.0183
613000.0,253.75,0.144,36.54
614000.0,253.81,0.148,37.56388
615000.0,254.04,0.11,27.9444
616000.0,254.5,0.133,33.8485
617000.0,254.29,0.146,37.12634
618000.0,253.67,0.161,40.84087
619000.0,253.49,0.146,37.00954
620000.0,253.48,0.11,27.8828
621000.0,253.48,0.11,27.8828
622000.0,253.45,0.14,35.483
623000.0,253.37,0.125,31.67125
624000.0,253.41,0.132,33.45012
625000.0,253.43,0.123,31.17189
626000.0,253.57,0.147,37.27479
627000.0,254.37,0.119,30.27003
628000.0,254.66,0.101,25.72066
629000.0,254.02,0.1,25.402
630000.0,253.85,0.1,25.385
631000.0,253.81,0.101,25.63481
632000.0,253.76,0.103,26.13728
633000.0,253.79,0.098,24.87142
634000.0,253.84,0.146,37.06064
635000.0,253.79,0.14,35.5306
636000.0,253.76,0.107,27.15232
637000.0,253.81,0.125,31.72625
638000.0,254.21,0.143,36.35203
639000.0,254.08,0.133,33.79264
640000.0,253.55,0.119,30.17245
641000.0,253.59,0.1,25.359
642000.0,253.65,0.104,26.3796
643000.0,253.65,0.136,34.4964
644000.0,253.68,0.13,32.9784
645000.0,253.64,0.108,27.39312
646000.0,253.76,0.097,24.61472
647000.0,254.73,0.09,22.9257
648000.0,254.25,0.098,24.9165
649000.0,253.95,0.135,34.28325
650000.0,254.01,0.114,28.95714
651000.0,254.0,0.093,23.622
652000.0,254.0,0.091,23.114
653000.0,253.85,0.092,23.3542
654000.0,253.78,0.127,32.23006
655000.0,253.83,0.121,30.71343
656000.0,253.96,0.123,31.23708
657000.0,254.34,0.124,31.53816
658000.0,254.89,0.129,32.88081
659000.0,254.47,0.136,34.60792
660000.0,254.17,0.139,35.32963
661000.0,254.17,0.139,35.32963
662000.0,254.17,0.099,25.16283
663000.0,254.19,0.113,28.72347
664000.0,254.2,0.097,24.6574
665000.0,254.31,0.113,28.73703
666000.0,254.2,0.145,36.859
667000.0,254.31,0.125,31.78875
668000.0,254.35,0.123,31.28505
669000.0,254.59,0.117,29.78703
670000.0,255.26,0.103,26.29178
671000.0,255.05,0.111,28.31055
672000.0,254.46,0.109,27.73614
673000.0,254.44,0.105,26.7162
674000.0,254.43,0.089,22.64427
675000.0,254.45,0.084,21.3738
676000.0,254.49,0.085,21.63165
677000.0,254.5,0.083,21.1235
678000.0,254.48,0.083,21.12184
679000.0,254.48,0.083,21.12184
680000.0,254.9,0.127,32.3723
681000.0,255.35,0.1,25.535
682000.0,254.68,0.121,30.81628
683000.0,254.46,0.095,24.1737
684000.0,254.65,0.099,25.21035
685000.0,254.5,0.094,23.923
686000.0,254.75,0.09,22.9275
687000.0,255.17,0.089,22.71013
688000.0,254.6,0.094,23.9324
689000.0,254.39,0.099,25.18461
690000.0,254.47,0.094,23.92018
691000.0,254.32,0.092,23.39744
692000.0,254.31,0.089,22.63359
693000.0,254.31,0.092,23.39652
694000.0,254.39,0.099,25.18461
695000.0,254.32,0.106,26.95792
696000.0,254.46,0.103,26.20938
697000.0,254.63,0.136,34.62968
698000.0,255.19,0.087,22.20153
699000.0,255.17,0.086,21.94462
700000.0,254.56,0.1,25.456
701000.0,254.62,0.092,23.42504
702000.0,254.66,0.099,25.21134
703000.0,254.74,0.087,22.16238
704000.0,254.73,0.083,21.14259
705000.0,254.65,0.092,23.4278
706000.0,254.56,0.121,30.80176
707000.0,254.59,0.098,24.94982
708000.0,255.28,0.105,26.8044
709000.0,255.44,0.086,21.96784
710000.0,254.81,0.089,22.67809
711000.0,254.71,0.088,22.41448
712000.0,254.72,0.086,21.90592
713000.0,254.67,0.122,31.06974
714000.0,254.66,0.12,30.5592
715000.0,254.68,0.091,23.17588
716000.0,254.62,0.091,23.17042
717000.0,254.62,0.117,29.79054
718000.0,254.71,0.096,24.45216
719000.0,254.76,0.108,27.51408
720000.0,255.34,0.103,26.30002
721000.0,255.45,0.11,28.0995
722000.0,254.96,0.13,33.1448
723000.0,254.8,0.087,22.1676
724000.0,254.67,0.103,26.23101
725000.0,252.05,0.212,53.4346
726000.0,251.12,0.219,54.99528
727000.0,250.82,0.22,55.1804
728000.0,250.9,0.218,54.6962
729000.0,250.88,0.219,54.94272
730000.0,250.84,0.218,54.68312
731000.0,250.73,0.219,54.90987
732000.0,250.59,0.218,54.62862
733000.0,250.75,0.214,53.6605
734000.0,251.44,0.215,54.0596
735000.0,251.17,0.214,53.75038
736000.0,250.51,0.215,53.85965
737000.0,250.63,0.213,53.38419
738000.0,250.66,0.212,53.13992
739000.0,250.78,0.212,53.16536
740000.0,250.85,0.212,53.1802
741000.0,250.04,0.102,25.50408
742000.0,249.61,0.108,26.95788
743000.0,250.01,0.108,27.00108
744000.0,249.78,0.123,30.72294
745000.0,249.42,0.102,25.44084
746000.0,249.39,0.113,28.18107
747000.0,249.37,0.145,36.15865
748000.0,249.36,0.132,32.91552
749000.0,249.35,0.109,27.17915
750000.0,249.27,0.13,32.4051
